Illumicode,N,Mean GRN,Dev GRN,Mean RED,Dev RED
4120086,40,605,193,31855,4905
4120131,42,5605,1273,6456,1116
4120156,37,9276,1577,244,111
4120193,28,432,138,4699,944
4120341,37,12223,2114,4960,1124
4120477,33,296,134,1840,365
4120603,33,7962,1876,348,99
4120609,29,250,125,10333,1528
4120626,29,8431,1359,471,243
4120630,35,266,102,5465,940
4120674,36,293,135,3573,747
4120685,22,203,80,967,398
4120743,34,9848,2068,349,120
4150010,20,9773,3171,1677,614
4150041,21,3153,849,1395,428
4150201,38,8094,1629,309,124
4150280,29,7005,1427,234,98
4150368,30,242,127,2331,1001
4150398,29,4930,1145,6015,1118
4150424,21,1664,500,695,235
4150468,28,6172,1333,228,93
4150470,27,5183,1223,233,101
4150494,23,1184,240,10343,1360
4150497,25,323,111,1766,536
4150544,35,1968,567,23027,3663
4150575,30,3066,711,186,77
4150632,33,714,254,1189,422
4150634,30,207,74,497,165
4150681,37,1446,418,674,272
4150687,26,606,231,356,198
4200056,24,231,111,365,131
4200064,37,3215,765,775,238
4200121,29,3832,775,240,120
4200129,34,5982,1355,203,84
4200291,24,3312,791,191,86
4200356,36,335,148,2246,706
4200471,26,13192,2605,306,104
4200523,22,6236,1744,4961,1150
4200768,29,778,279,401,171
4210044,28,226,90,206,83
4210068,23,2829,705,177,69
4210095,23,6141,936,233,98
4210215,38,421,161,5277,1013
4210400,28,8802,1652,236,80
4210719,28,297,98,1916,493
4210730,32,175,91,255,96
4220068,30,2500,724,1075,374
4220091,38,11103,2323,1850,496
4220114,28,10427,1934,263,92
4220129,32,5987,1354,260,100
4220164,36,262,135,4458,881
4220176,21,3444,992,2141,554
4220193,30,7964,1510,220,82
4220195,27,321,124,2829,897
4220202,17,386,130,2950,908
4220240,30,10967,1638,2342,796
4220246,28,9373,2224,306,134
4220300,28,175,78,166,77
4220632,27,2640,631,1805,421
4220634,20,1991,527,179,90
4220709,30,401,169,12716,2163
4220731,27,2404,763,2023,494
4230091,34,6377,1341,1174,237
4230097,37,287,106,5889,1137
4230133,29,2971,628,5300,884
4230154,37,370,100,7745,1228
4230195,28,343,131,148,91
4230202,39,741,321,487,206
4230286,34,19032,3828,3008,582
4230309,35,9954,1993,342,158
4230326,16,389,193,658,189
4230341,25,217,112,3607,749
4230348,31,1306,521,229,101
